cnty_fips,display_name,heart_disease,high_cholesterol,diagnosed_diabetes,obesity,physical_inactivity,current_smoker,broadband_internet,computer,education_lessthan_highschool,education_lessthan_college,foodstamp_snap,median_home_value,median_household_income,income_inequality,poverty,severe_housing_cost_burden,unemployment_rate,air_quality,park_access,urban_rural_value,population_all_genders18+,population_women18+,population_men18+,population_all_ages,population_over65_percent,american_indian_alaska_native_all_ages_nh_percent,asian_pacific_islander_all_ages_nh_percent,black_all_ages_nh_percent,white_all_ages_nh_percent,some_other_race_all_ages_nh_percent,two_ormore_races_all_ages_nh_percent,hispanic_all_ages_percent,cholesterol_medication_nonadherance_all_race,cholesterol_nonadherance_Black_percent,cholesterol_nonadherance_White_percent,cholesterol_nonadherance_Hispanic_percent,cholesterol_nonadherance_NA/AI_percent,cholesterol_nonadherence_AAPI_percent,cholesterol_screening_percent,cardiac_rehab_eligibility_rate,cardiac_rehab_participation_rate_percent,cardiac_rehab_completion_rate_percent,cardiac_rehab_mean_number_session,hospitals_number,hospitals_cardiac_intensive_care,hospitals_cardiac_rehab,hospitals_emergency_dept,hospital_neurolgical_services,pharmacy_drug_stores,primary_care_physicians,cardio_disease_physcians,neurologists_physicians,neurosurgeons_physcians,health_insurance_status_percent,medicare_beneficiaries_heart_disease_totalcostpercapita,medicare_beneficiaries_heart_disease_totalincrementalcosts,medicare_beneficiaries_heart_disease_prevalence_percent
13001,"""Appling, (GA)""",9.8,37.1,8.4,24.9,21.4,23.8,37.9,13.9,22.8,90.5,20.5,87000,45000,0.472,19.9,11.4,3.6,9.4,3,4,13863,7021,6842,18428,17.2,0.6,0,19.7,68.8,0.4,0.6,9.9,19.6,26.4,18.7,-1,-1,-1,85,20.1,-1,-1,-1,1,0,0,0,0,32.6,3.1,-1,-1,-1,20.6,19681,12537,37
13003,"""Atkinson, (GA)""",9.3,34.7,8.2,23.3,18.2,25.3,33,14.9,32.3,87.8,21.9,63000,40000,0.47,21.6,9.3,2.9,9.4,0,4,6088,3032,3056,8311,12.9,0.6,0,15.4,55.7,0.3,2.1,25.9,18.2,-1,16.7,-1,-1,-1,82.7,29.2,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,23.8,19590,12892,42.4
13005,"""Bacon, (GA)""",9.3,36,7.6,25.5,21.5,24.4,27,16.7,17.6,90.7,20.1,82000,42000,0.458,21.1,14.1,3.2,9.2,0,4,8293,4217,4076,11140,15.6,0,0.4,16.4,73.2,0.3,1.4,8.3,20.2,-1,19.1,-1,-1,-1,84.8,20.3,-1,-1,-1,1,0,0,0,0,45,1.6,-1,-1,-1,19.6,24799,18650,42.1
13007,"""Baker, (GA)""",11,38.1,8.2,22.4,21.9,21,52.2,34.3,16.8,78.6,24.6,108000,44000,0.499,23.7,10.7,4.9,9.5,5,3,2565,1328,1237,3090,29.8,0,6.2,37.9,50.1,0.3,1,4.5,19.8,-1,16.8,-1,-1,-1,88.4,19.3,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,18.1,22207,18043,34.6
13009,"""Baldwin, (GA)""",7.6,31.9,8,29,22.5,18.5,20.2,10.8,13.5,75.7,16.9,129000,49000,0.532,22.6,19.9,4.8,10.2,11,4,36622,18161,18461,45072,15.9,0.1,1.9,41.7,52.2,0.3,1.5,2.3,18.4,23.2,15.8,-1,-1,-1,85.3,21.8,17.4,79.9,0.8,1,0,1,1,0,16,2.2,-1,44.9,-1,16.9,20638,15454,37.3
13011,"""Banks, (GA)""",8.8,36.8,8.3,23.2,21.9,21.6,26.5,16.8,24.9,84.2,10.1,165000,63000,0.432,11.6,9,2.6,10,9,4,14577,7305,7272,18900,16.7,0.4,1.1,2.1,87.6,0.2,1.6,7,14.5,-1,14.2,-1,-1,-1,85.1,15.6,22.1,-1,-1,0,0,0,0,0,0,4.8,-1,-1,-1,21.3,20236,14919,38.2
13013,"""Barrow, (GA)""",6.4,32.8,8.9,27.6,26.8,19.2,11.4,6.7,13.5,79.8,11.2,170000,64000,0.39,10.1,10.8,2.9,10.5,14,2,60161,31070,29091,81294,12.5,0.1,3.9,11.9,69.6,0.5,2.5,11.5,15.4,21.6,14.1,22.9,-1,-1,85.6,16.9,29.5,47.8,0.5,1,0,0,1,1,7.1,4.2,83.2,-1,-1,17.8,18618,12530,37
13015,"""Bartow, (GA)""",7.1,34.6,8.8,25.9,26.2,20.1,20.2,7.7,13.8,80.2,12.3,179000,65000,0.433,10.2,11.3,3.5,10.4,22,2,80753,41341,39412,106456,13.9,0.1,0.9,9.8,75.8,1.8,2.8,8.8,17,21.9,16.4,-1,-1,-1,86,27.8,25,29.4,0.3,1,0,0,0,0,9.1,2.5,107.7,107.7,-1,18,20608,14068,41.8
13017,"""Ben Hill, (GA)""",9.7,36.1,9,25.3,27,24.4,39.9,16.8,16.4,89,23.1,86000,39000,0.499,22.3,15.1,5.2,9.3,9,4,12693,6829,5864,16889,17.1,0,0.5,36.9,55.2,0.3,0.9,6.2,16.6,18.9,16.6,-1,-1,-1,86.4,21.2,-1,-1,-1,1,0,0,0,0,17.5,1.9,-1,-1,-1,17.1,22934,15585,35.2
13019,"""Berrien, (GA)""",9.4,36.8,8.2,30,23.1,23.6,29.5,18.3,20.4,86.8,17.7,95000,45000,0.429,18.9,9.5,3.7,9.7,2,4,14573,7470,7103,19206,17.9,0,0.9,9.9,81.6,0.4,2,5.2,18.2,-1,16.7,-1,-1,-1,84.7,21.8,22.2,-1,-1,1,0,0,1,0,16.5,4.8,-1,-1,-1,21.1,22282,14722,35
