cnty_fips,display_name,heart_disease,high_cholesterol,diagnosed_diabetes,obesity,physical_inactivity,current_smoker,broadband_internet,computer,education_lessthan_highschool,education_lessthan_college,foodstamp_snap,median_home_value,median_household_income,income_inequality,poverty,severe_housing_cost_burden,unemployment_rate,air_quality,park_access,urban_rural_value,population_all_genders18+,population_women18+,population_men18+,population_all_ages,population_over65_percent,american_indian_alaska_native_all_ages_nh_percent,asian_pacific_islander_all_ages_nh_percent,black_all_ages_nh_percent,white_all_ages_nh_percent,some_other_race_all_ages_nh_percent,two_ormore_races_all_ages_nh_percent,hispanic_all_ages_percent,cholesterol_medication_nonadherance_all_race,cholesterol_nonadherance_Black_percent,cholesterol_nonadherance_White_percent,cholesterol_nonadherance_Hispanic_percent,cholesterol_nonadherance_NA/AI_percent,cholesterol_nonadherence_AAPI_percent,cholesterol_screening_percent,cardiac_rehab_eligibility_rate,cardiac_rehab_participation_rate_percent,cardiac_rehab_completion_rate_percent,cardiac_rehab_mean_number_session,hospitals_number,hospitals_cardiac_intensive_care,hospitals_cardiac_rehab,hospitals_emergency_dept,hospital_neurolgical_services,pharmacy_drug_stores,primary_care_physicians,cardio_disease_physcians,neurologists_physicians,neurosurgeons_physcians,health_insurance_status_percent,medicare_beneficiaries_heart_disease_totalcostpercapita,medicare_beneficiaries_heart_disease_totalincrementalcosts,medicare_beneficiaries_heart_disease_prevalence_percent
2013,"""Aleutians East, (AK)""",5.9,31.2,9.9,27.2,21.5,18.5,42.1,11.5,13.4,83.4,2.6,137000,79000,0.383,15.1,9.6,2.3,-1,66,4,2946,1229,1717,3389,11.2,40.7,24.3,2.8,13.2,0.8,9.5,8.7,-1,-1,-1,-1,-1,-1,79.4,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,23.3,14161,7506,27.3
2016,"""Aleutians West, (AK)""",4.6,30.3,9.3,25.4,20,16.7,21,8.2,8.2,83,1.4,317000,92000,0.329,8.1,5.6,3.6,-1,86,4,4691,1572,3119,5708,7.5,9.8,43.8,2.9,23.1,0.3,6.3,13.8,-1,-1,-1,-1,-1,-1,80.2,-1,-1,-1,-1,0,0,0,0,0,0,2.8,-1,-1,-1,17.7,10576,8441,24.3
2020,"""Anchorage, (AK)""",4.9,29.4,8.3,29.8,17.9,15.7,8,3.3,6,63.4,9.7,320000,85000,0.42,8.3,12.8,5.8,6.4,83,3,221182,108606,112576,292090,11.1,6.8,12.2,5,56.7,0.9,9.1,9.3,15.3,23.1,14,23.7,20.4,19,80.4,16.7,26.1,34.3,0.3,4,1,1,1,1,5.8,0.8,14.4,24,24,11.1,16680,11955,27.2
2050,"""Bethel, (AK)""",8.1,28.7,8.8,23.8,22,34,26.6,10.2,16.5,88.7,37.7,89000,52000,0.458,25.3,11.4,13.1,-1,76,4,11755,5639,6116,18263,7.4,82.8,1.3,0.7,9.4,0.3,3.6,1.9,27.8,-1,-1,-1,31.8,-1,74.2,12.2,-1,-1,-1,1,0,0,0,0,0,0.9,-1,-1,-1,16.8,19966,14540,17
2060,"""Bristol Bay, (AK)""",7.5,32.3,9.2,24.6,20.9,17.8,19,7,6.2,74.2,6.5,222000,87000,0.377,10.7,5.8,5.6,-1,30,4,596,254,342,739,11.6,29.6,3.5,0.5,47.9,0.7,7.7,10.1,-1,-1,-1,-1,-1,-1,82.1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,15.1,19471,16800,29.7
2068,"""Denali, (AK)""",5.7,30.9,6.7,20.6,16.7,17.4,14.9,4.4,2.3,60.9,3.5,234000,80000,0.388,6.4,7.2,10.1,-1,59,4,2242,1004,1238,2502,10.5,1.7,2,2.1,80.9,0.5,11.4,1.4,-1,-1,-1,-1,-1,-1,81.2,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,11.5,9763,7580,24.3
2070,"""Dillingham, (AK)""",7.7,29.3,8.6,23.5,22.6,28.4,27.1,8.6,13.5,80.6,20.5,156000,72000,0.406,18.7,9.1,8.2,-1,37,4,3392,1617,1775,4934,11.3,73.3,0.4,1.4,14.9,0.4,6.6,3,-1,-1,-1,-1,-1,-1,78,-1,-1,-1,-1,0,0,0,0,0,0,0.4,-1,-1,-1,15.5,24917,19062,22
2090,"""Fairbanks North Star, (AK)""",4.7,27.5,8,28.4,20.4,15.7,12.9,3.4,5.5,67.7,6.5,240000,77000,0.412,7.2,11.7,5,13.9,36,3,74747,33742,41005,98455,10.4,7.3,3.7,4.4,68.7,0.8,7,8.1,15.7,-1,15.5,-1,20,-1,78.8,13,46.9,20,0.2,2,1,1,1,0,6.3,1.1,48.4,32.3,96.8,11.3,13562,9646,27.1
2100,"""Haines, (AK)""",8.2,34.5,7.8,25.5,16.8,17.1,13.6,2.8,2,72.3,4.3,264000,105000,0.401,9.6,8.5,11.3,-1,90,4,1688,739,949,2547,23,6.2,1.9,0,72.1,0.3,14.4,5.1,16.2,-1,14.2,-1,-1,-1,85.3,15.2,-1,-1,-1,0,0,0,0,0,0,0.4,-1,-1,-1,12.6,13775,7725,24.9
2105,"""Hoonah-Angoon, (AK)""",9.7,35.8,8.6,22.2,19.8,20.5,39.1,19.5,6,80.4,14.4,222000,56000,0.443,12.7,6.4,9.3,-1,97,4,1858,825,1033,2135,22.6,30.6,2.2,3.1,45.5,0.5,8.9,9.2,-1,-1,-1,-1,-1,-1,85,20.5,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,20,22080,16301,23.9
2110,"""Juneau, (AK)""",5.5,31.3,6.7,26,14.1,14.8,8.7,4.8,3.8,61.2,8.3,355000,89000,0.383,8.1,9.2,4.7,6.5,94,4,25244,12447,12797,32099,13.6,9.7,7.8,0.8,63.4,0.4,11,6.9,16.2,-1,14.1,-1,-1,-1,81.8,13.1,-1,-1,-1,1,0,1,1,0,0,0.8,-1,32,-1,11.4,17289,11679,21.6
2122,"""Kenai Peninsula, (AK)""",7.4,34,8.3,25.2,20.4,18.5,16.9,6.9,7,74.2,9.3,245000,68000,0.442,10.6,11,7.3,-1,52,4,45585,21735,23850,58809,17.4,7.7,2,0.5,79.1,1,5.5,4.2,14.6,-1,14,-1,20.6,-1,81.6,15.8,29.7,47.2,0.5,3,0,1,3,1,6.8,1.3,-1,58.7,-1,13.8,18116,12793,29.3
2130,"""Ketchikan Gateway, (AK)""",6.5,31.4,8.4,30.9,19.9,16.8,13,6.7,6.1,74.5,13.2,300000,77000,0.428,8.3,13.6,7.4,-1,65,4,10833,5263,5570,13833,15.4,13.9,8.2,0.6,63.1,0.6,8.2,5.4,16.6,-1,13,-1,-1,-1,82.2,21.2,-1,-1,-1,1,0,0,1,0,0,0.9,13.9,-1,-1,13.5,23616,16789,28.8
2150,"""Kodiak Island, (AK)""",5.1,30,8.7,31.2,23.7,16.4,14.2,9.1,10.4,70.2,5,295000,72000,0.377,7.5,10.9,6.4,-1,34,4,10009,4607,5402,13383,10.5,12,23,0.4,47.7,0.8,7.1,9,14.4,-1,13.8,-1,-1,-1,79.8,15.9,-1,-1,-1,1,0,0,0,0,0,0.8,-1,-1,-1,18.2,19994,14502,21
2164,"""Lake and Peninsula, (AK)""",7.7,31.7,9.1,23.1,21.9,25.1,31.4,11.7,11.8,76.9,14.3,121000,54000,0.405,17.6,6.4,8.9,-1,58,4,860,468,392,1156,10.6,58.7,2.5,6.9,24.1,0.3,7.3,0.2,-1,-1,-1,-1,-1,-1,78.6,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,19.1,14231,9680,18.6
